0 loss is [9.71377674], paramters w:[0.03973027], b:[-0.00927065]
1 loss is [9.55130686], paramters w:[0.07912129], b:[-0.018264]
2 loss is [9.39193349], paramters w:[0.11817641], b:[-0.02698638]
3 loss is [9.23558377], paramters w:[0.15689896], b:[-0.03544398]
4 loss is [9.08218704], paramters w:[0.19529221], b:[-0.04364288]
5 loss is [8.93167467], paramters w:[0.23335938], b:[-0.05158901]
6 loss is [8.78398009], paramters w:[0.27110367], b:[-0.05928817]
7 loss is [8.63903863], paramters w:[0.30852823], b:[-0.06674605]
8 loss is [8.49678751], paramters w:[0.34563619], b:[-0.07396823]
9 loss is [8.35716575], paramters w:[0.38243061], b:[-0.08096013]
10 loss is [8.22011412], paramters w:[0.41891454], b:[-0.08772711]
11 loss is [8.08557507], paramters w:[0.45509098], b:[-0.09427436]
12 loss is [7.95349268], paramters w:[0.49096289], b:[-0.100607]
13 loss is [7.82381261], paramters w:[0.52653322], b:[-0.10673003]
14 loss is [7.69648202], paramters w:[0.56180486], b:[-0.11264832]
15 loss is [7.57144955], paramters w:[0.59678067], b:[-0.11836668]
16 loss is [7.44866527], paramters w:[0.63146348], b:[-0.12388978]
17 loss is [7.3280806], paramters w:[0.66585609], b:[-0.12922221]
18 loss is [7.2096483], paramters w:[0.69996125], b:[-0.13436844]
19 loss is [7.09332241], paramters w:[0.7337817], b:[-0.13933287]
20 loss is [6.9790582], paramters w:[0.76732014], b:[-0.14411979]
21 loss is [6.86681215], paramters w:[0.80057923], b:[-0.14873341]
22 loss is [6.75654188], paramters w:[0.8335616], b:[-0.15317784]
23 loss is [6.64820617], paramters w:[0.86626987], b:[-0.1574571]
24 loss is [6.54176484], paramters w:[0.8987066], b:[-0.16157512]
25 loss is [6.43717879], paramters w:[0.93087435], b:[-0.16553577]
26 loss is [6.33440992], paramters w:[0.96277562], b:[-0.1693428]
27 loss is [6.23342113], paramters w:[0.99441291], b:[-0.17299992]
28 loss is [6.13417626], paramters w:[1.02578867], b:[-0.17651072]
29 loss is [6.03664007], paramters w:[1.05690533], b:[-0.17987874]
30 loss is [5.94077822], paramters w:[1.0877653], b:[-0.18310744]
31 loss is [5.84655723], paramters w:[1.11837095], b:[-0.18620019]
32 loss is [5.75394445], paramters w:[1.14872463], b:[-0.1891603]
33 loss is [5.66290807], paramters w:[1.17882866], b:[-0.19199101]
34 loss is [5.57341704], paramters w:[1.20868534], b:[-0.19469548]
35 loss is [5.48544108], paramters w:[1.23829694], b:[-0.19727681]
36 loss is [5.39895064], paramters w:[1.2676657], b:[-0.19973803]
37 loss is [5.3139169], paramters w:[1.29679385], b:[-0.2020821]
38 loss is [5.23031174], paramters w:[1.32568358], b:[-0.20431192]
39 loss is [5.14810768], paramters w:[1.35433706], b:[-0.20643033]
40 loss is [5.06727794], paramters w:[1.38275643], b:[-0.20844011]
41 loss is [4.98779633], paramters w:[1.41094383], b:[-0.21034396]
42 loss is [4.90963731], paramters w:[1.43890136], b:[-0.21214454]
43 loss is [4.83277591], paramters w:[1.46663108], b:[-0.21384445]
44 loss is [4.75718775], paramters w:[1.49413506], b:[-0.21544623]
45 loss is [4.68284902], paramters w:[1.52141533], b:[-0.21695237]
46 loss is [4.60973644], paramters w:[1.5484739], b:[-0.21836529]
47 loss is [4.53782728], paramters w:[1.57531276], b:[-0.21968737]
48 loss is [4.4670993], paramters w:[1.60193387], b:[-0.22092094]
49 loss is [4.39753079], paramters w:[1.62833919], b:[-0.22206827]
50 loss is [4.32910049], paramters w:[1.65453063], b:[-0.22313158]
51 loss is [4.26178765], paramters w:[1.68051011], b:[-0.22411305]
52 loss is [4.19557195], paramters w:[1.7062795], b:[-0.22501481]
53 loss is [4.13043352], paramters w:[1.73184068], b:[-0.22583893]
54 loss is [4.06635295], paramters w:[1.75719548], b:[-0.22658745]
55 loss is [4.00331122], paramters w:[1.78234574], b:[-0.22726237]
56 loss is [3.94128973], paramters w:[1.80729326], b:[-0.22786561]
57 loss is [3.88027028], paramters w:[1.83203982], b:[-0.2283991]
58 loss is [3.82023507], paramters w:[1.85658721], b:[-0.22886468]
59 loss is [3.76116666], paramters w:[1.88093715], b:[-0.22926418]
60 loss is [3.70304799], paramters w:[1.9050914], b:[-0.22959937]
61 loss is [3.64586235], paramters w:[1.92905166], b:[-0.229872]
62 loss is [3.58959338], paramters w:[1.95281963], b:[-0.23008376]
63 loss is [3.53422507], paramters w:[1.97639699], b:[-0.23023631]
64 loss is [3.47974171], paramters w:[1.99978539], b:[-0.23033129]
