0 loss is 13.523330688476562, paramters w:0.00037871443782933056, b:-0.0002627746434882283
1 loss is 13.521206855773926, paramters w:0.0007574004121124744, b:-0.0005254846764728427
2 loss is 13.519083023071289, paramters w:0.0011360578937456012, b:-0.0007881302153691649
3 loss is 13.516960144042969, paramters w:0.0015146869700402021, b:-0.001050711260177195
4 loss is 13.514836311340332, paramters w:0.0018932876409962773, b:-0.001313227810896933
5 loss is 13.512715339660645, paramters w:0.0022718599066138268, b:-0.001575679867528379
6 loss is 13.510594367980957, paramters w:0.0026504036504775286, b:-0.0018380674300715327
7 loss is 13.508474349975586, paramters w:0.0030289189890027046, b:-0.002100390614941716
8 loss is 13.506353378295898, paramters w:0.003407405922189355, b:-0.0023626491893082857
9 loss is 13.504232406616211, paramters w:0.0037858642172068357, b:-0.002624843269586563
10 loss is 13.502115249633789, paramters w:0.0041642943397164345, b:-0.002886973088607192
11 loss is 13.49999713897705, paramters w:0.004542695824056864, b:-0.003149038413539529
12 loss is 13.49787712097168, paramters w:0.004921068903058767, b:-0.003411039477214217
13 loss is 13.495760917663574, paramters w:0.005299413576722145, b:-0.0036729760468006134
14 loss is 13.493642807006836, paramters w:0.005677729845046997, b:-0.0039348481222987175
15 loss is 13.491528511047363, paramters w:0.006056017708033323, b:-0.004196655936539173
16 loss is 13.489412307739258, paramters w:0.006434277165681124, b:-0.00445839948952198
17 loss is 13.487297058105469, paramters w:0.006812508217990398, b:-0.004720078781247139
18 loss is 13.485180854797363, paramters w:0.007190710864961147, b:-0.004981693811714649
19 loss is 13.483067512512207, paramters w:0.0075688851065933704, b:-0.005243244580924511
20 loss is 13.48095417022705, paramters w:0.007947031408548355, b:-0.005504731088876724
21 loss is 13.478840827941895, paramters w:0.008325149305164814, b:-0.005766153335571289
22 loss is 13.476728439331055, paramters w:0.00870323833078146, b:-0.006027511321008205
23 loss is 13.474617004394531, paramters w:0.009081299416720867, b:-0.006288805045187473
24 loss is 13.472505569458008, paramters w:0.009459331631660461, b:-0.006550034508109093
25 loss is 13.4703950881958, paramters w:0.009837335906922817, b:-0.006811199709773064
26 loss is 13.468282699584961, paramters w:0.01021531131118536, b:-0.007072300650179386
27 loss is 13.466174125671387, paramters w:0.010593258775770664, b:-0.00733333732932806
28 loss is 13.464065551757812, paramters w:0.010971177369356155, b:-0.007594309747219086
29 loss is 13.461956977844238, paramters w:0.011349068023264408, b:-0.007855217903852463
30 loss is 13.45984935760498, paramters w:0.011726930737495422, b:-0.008116061799228191
31 loss is 13.457742691040039, paramters w:0.012104764580726624, b:-0.008376842364668846
32 loss is 13.455633163452148, paramters w:0.012482570484280586, b:-0.008637558668851852
33 loss is 13.453527450561523, paramters w:0.012860347516834736, b:-0.00889821071177721
34 loss is 13.451421737670898, paramters w:0.013238096609711647, b:-0.00915879849344492
35 loss is 13.449316024780273, paramters w:0.013615816831588745, b:-0.00941932201385498
36 loss is 13.447210311889648, paramters w:0.013993509113788605, b:-0.009679781273007393
37 loss is 13.445108413696289, paramters w:0.014371173456311226, b:-0.009940177202224731
38 loss is 13.443005561828613, paramters w:0.014748808927834034, b:-0.010200508870184422
39 loss is 13.440899848937988, paramters w:0.015126416459679604, b:-0.010460776276886463
40 loss is 13.438796997070312, paramters w:0.01550399512052536, b:-0.010720979422330856
41 loss is 13.43669605255127, paramters w:0.015881545841693878, b:-0.010981119237840176
42 loss is 13.434595108032227, paramters w:0.016259068623185158, b:-0.011241194792091846
43 loss is 13.4324951171875, paramters w:0.0166365634649992, b:-0.011501206085085869
44 loss is 13.430395126342773, paramters w:0.017014028504490852, b:-0.011761154048144817
45 loss is 13.428293228149414, paramters w:0.017391465604305267, b:-0.012021037749946117
46 loss is 13.42619514465332, paramters w:0.017768874764442444, b:-0.012280857190489769
47 loss is 13.424095153808594, paramters w:0.018146255984902382, b:-0.012540613301098347
48 loss is 13.4219970703125, paramters w:0.01852360926568508, b:-0.012800305150449276
49 loss is 13.419900894165039, paramters w:0.018900932744145393, b:-0.013059933669865131
50 loss is 13.417803764343262, paramters w:0.019278228282928467, b:-0.013319497928023338
51 loss is 13.4157075881958, paramters w:0.019655495882034302, b:-0.013578997924923897
52 loss is 13.413610458374023, paramters w:0.020032735541462898, b:-0.013838434591889381
53 loss is 13.411514282226562, paramters w:0.020409947261214256, b:-0.014097806997597218
54 loss is 13.409419059753418, paramters w:0.020787131041288376, b:-0.01435711607336998
55 loss is 13.407325744628906, paramters w:0.021164285019040108, b:-0.014616360887885094
56 loss is 13.405230522155762, paramters w:0.0215414110571146, b:-0.014875542372465134
57 loss is 13.403139114379883, paramters w:0.021918509155511856, b:-0.015134659595787525
58 loss is 13.401043891906738, paramters w:0.022295579314231873, b:-0.015393713489174843
59 loss is 13.398953437805176, paramters w:0.02267262153327465, b:-0.015652703121304512
60 loss is 13.39686107635498, paramters w:0.02304963394999504, b:-0.015911629423499107
61 loss is 13.394770622253418, paramters w:0.023426618427038193, b:-0.01617049239575863
62 loss is 13.392680168151855, paramters w:0.023803574964404106, b:-0.016429292038083076
63 loss is 13.390588760375977, paramters w:0.02418050356209278, b:-0.0166880264878273
64 loss is 13.38849925994873, paramters w:0.024557404220104218, b:-0.01694669760763645
65 loss is 13.3864107131958, paramters w:0.024934276938438416, b:-0.01720530539751053
66 loss is 13.384321212768555, paramters w:0.025311121717095375, b:-0.01746384985744953
67 loss is 13.382235527038574, paramters w:0.025687936693429947, b:-0.01772233098745346
68 loss is 13.380147933959961, paramters w:0.02606472373008728, b:-0.017980748787522316
69 loss is 13.378061294555664, paramters w:0.026441482827067375, b:-0.018239101395010948
70 loss is 13.37597370147705, paramters w:0.02681821398437023, b:-0.018497390672564507
71 loss is 13.37388801574707, paramters w:0.02719491720199585, b:-0.01875561662018299
72 loss is 13.371803283691406, paramters w:0.02757159247994423, b:-0.0190137792378664
73 loss is 13.369718551635742, paramters w:0.02794823981821537, b:-0.01927187852561474
74 loss is 13.367634773254395, paramters w:0.028324857354164124, b:-0.019529914483428
75 loss is 13.365551948547363, paramters w:0.02870144695043564, b:-0.01978788711130619
76 loss is 13.3634672164917, paramters w:0.029078008607029915, b:-0.020045796409249306
77 loss is 13.361384391784668, paramters w:0.029454542323946953, b:-0.020303640514612198
78 loss is 13.359304428100586, paramters w:0.029831048101186752, b:-0.020561421290040016
79 loss is 13.357221603393555, paramters w:0.030207525938749313, b:-0.02081913873553276
80 loss is 13.355140686035156, paramters w:0.030583975836634636, b:-0.02107679285109043
81 loss is 13.353060722351074, paramters w:0.03096039593219757, b:-0.021334383636713028
82 loss is 13.350979804992676, paramters w:0.03133678808808327, b:-0.02159191109240055
83 loss is 13.348901748657227, paramters w:0.031713154166936874, b:-0.021849375218153
84 loss is 13.346822738647461, paramters w:0.032089490443468094, b:-0.022106776013970375
85 loss is 13.344744682312012, paramters w:0.032465796917676926, b:-0.022364113479852676
86 loss is 13.342666625976562, paramters w:0.03284207731485367, b:-0.022621387615799904
87 loss is 13.340591430664062, paramters w:0.03321832790970802, b:-0.022878598421812057
88 loss is 13.338513374328613, paramters w:0.03359455242753029, b:-0.023135745897889137
89 loss is 13.33643627166748, paramters w:0.03397074714303017, b:-0.023392830044031143
90 loss is 13.334362983703613, paramters w:0.034346915781497955, b:-0.023649850860238075
91 loss is 13.332287788391113, paramters w:0.034723054617643356, b:-0.023906808346509933
92 loss is 13.33021354675293, paramters w:0.03509916737675667, b:-0.024163702502846718
93 loss is 13.328140258789062, paramters w:0.03547525033354759, b:-0.02442053332924843
94 loss is 13.326065063476562, paramters w:0.03585130721330643, b:-0.024677300825715065
95 loss is 13.323992729187012, paramters w:0.036227334290742874, b:-0.024934004992246628
96 loss is 13.321920394897461, paramters w:0.036603331565856934, b:-0.025190645828843117
97 loss is 13.319849014282227, paramters w:0.036979302763938904, b:-0.025447223335504532
98 loss is 13.317777633666992, paramters w:0.037355244159698486, b:-0.025703737512230873
99 loss is 13.315707206726074, paramters w:0.03773115947842598, b:-0.02596018835902214
100 loss is 13.313636779785156, paramters w:0.038107044994831085, b:-0.026216575875878334
101 loss is 13.311569213867188, paramters w:0.0384829044342041, b:-0.026472900062799454
102 loss is 13.309496879577637, paramters w:0.03885873407125473, b:-0.0267291609197855
103 loss is 13.307428359985352, paramters w:0.03923453763127327, b:-0.02698536030948162
104 loss is 13.3053617477417, paramters w:0.03961031138896942, b:-0.027241496369242668
105 loss is 13.30329418182373, paramters w:0.039986059069633484, b:-0.02749756909906864
106 loss is 13.301226615905762, paramters w:0.04036177694797516, b:-0.02775357849895954
107 loss is 13.299160957336426, paramters w:0.040737465023994446, b:-0.028009524568915367
108 loss is 13.297094345092773, paramters w:0.041113127022981644, b:-0.02826540730893612
109 loss is 13.295028686523438, paramters w:0.041488759219646454, b:-0.028521226719021797
110 loss is 13.292963981628418, paramters w:0.041864365339279175, b:-0.0287769827991724
111 loss is 13.290901184082031, paramters w:0.04223994165658951, b:-0.02903267741203308
112 loss is 13.288836479187012, paramters w:0.04261549189686775, b:-0.029288308694958687
113 loss is 13.286773681640625, paramters w:0.04299101233482361, b:-0.02954387664794922
114 loss is 13.284710884094238, paramters w:0.043366506695747375, b:-0.029799381271004677
115 loss is 13.282649040222168, paramters w:0.043741971254348755, b:-0.03005482256412506
116 loss is 13.280588150024414, paramters w:0.044117409735918045, b:-0.03031020052731037
117 loss is 13.278528213500977, paramters w:0.04449281841516495, b:-0.030565517023205757
118 loss is 13.276466369628906, paramters w:0.04486820101737976, b:-0.03082077018916607
119 loss is 13.274404525756836, paramters w:0.045243553817272186, b:-0.031075960025191307
120 loss is 13.272348403930664, paramters w:0.04561888054013252, b:-0.03133108839392662
